Ranking;EmpresaID;Empresa;EAN;Produto;Laboratório;Categoria;Curva;Ação;Preço_Atual;Preço_Recomendado;Variação_Pct;Margem_Atual;Margem_Recomendada;Preço_Concorrente;Estoque;Ganho_Estimado;Score_IA;Motivo;Data_Hora
134;1;ECONOMIZE - MAYCON;3662042000058;HYABAK 0,15 % SOL OFT 10 ML;UNIAO QUIMICA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.285714157262959;0.0;80.99;13.0;790.2;67.05;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
135;1;ECONOMIZE - MAYCON;7899095243866;QUETIAPINA 25MG 30COMP;GEOLAB;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7413575432610285;0.0;11.4;6.0;1074.06;66.93;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
136;1;ECONOMIZE - MAYCON;7899095202436;ALBENDAZOL 400MG C/5 CP(GEO);GEOLAB;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8425384192737384;0.0;25.0;34.0;548.03;66.9;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
137;1;ECONOMIZE - MAYCON;7891317029715;MELOXICAM 15 MG C/10 CPRS(EUR);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.83279843444227;0.0;34.67;14.0;766.54;66.84;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
138;1;ECONOMIZE - MAYCON;7896006210788;DOXAZOSINA-DOXAPROST 4MG C/30 CPR(UNIAO QUI);UNIAO QUIMICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.7142204174913789;0.0;32.0;6.0;1033.58;66.82;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
139;1;ECONOMIZE - MAYCON;7891317010829;ESCITALOPRAM 20MG 60CP(EURO);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6774294108669109;0.0;68.94;8.0;920.68;66.81;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
140;1;ECONOMIZE - MAYCON;7898014567410;COLIC CALM SUSPENSAO 59ML;MRJ FARMA INDUSTRIA  E COMERC;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3964233886881812;0.0;125.99;5.0;1073.52;66.6;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
141;1;ECONOMIZE - MAYCON;7896714214405;NAPROXENO 550MG 10COMP;NEO QUIMICA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.5065536723163842;0.0;30.09;15.0;680.17;66.58;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
142;1;ECONOMIZE - MAYCON;7891060679724;ALICATE CUTICULA MUNDIAL R522 1UN;MUNDIAL S/A PRODUTOS DE CONSUM;PRINCIPAL > PERFUMARIA;Não informado;Revisar margem;0.0;0.0;0.0;0.3506409919653305;0.0;21.4;99.0;420.85;66.57;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
143;1;ECONOMIZE - MAYCON;7896094206410;VENZER HCT 16MG 30'S;LIBBS FARMACEUTICA LTDA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.325209207716039;0.0;98.29;10.0;786.11;66.52;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
144;1;ECONOMIZE - MAYCON;7898948648131;UTROGESTAN 100 MG C/ 30 CAP;FARMOQUIMICA S.A.;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.3013422921975314;0.0;85.73;10.0;780.42;66.49;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
145;1;ECONOMIZE - MAYCON;7908615000244;CICAPLAST BAUME B5 CR 40ML;LOREAL / LOREAL;PRINCIPAL > PERFUMARIA;Não informado;Revisar margem;0.0;0.0;0.0;0.2810170147366585;0.0;96.99;16.0;601.08;66.44;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
146;1;ECONOMIZE - MAYCON;7891317020354;COGMAX FOS 60 COMP;EUROFARMA;PRINCIPAL > ÉTICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.2304477493494899;0.0;153.99;5.0;1002.6;66.37;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
147;1;ECONOMIZE - MAYCON;7898650425495;*BC KIDS 240ML;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.8126015751968997;0.0;79.99;18.0;588.46;66.37;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
148;1;ECONOMIZE - MAYCON;7898569760533;ROSUVASTATINA CAL 40;ALTHAIA S.A IND FARMACEUTICA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7212013131668426;0.0;170.58;5.0;1008.97;66.36;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
149;1;ECONOMIZE - MAYCON;7896112406693;METOPROLOL  50MG 30CP(BIOLAB);BIOLAB SANUS;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.6513434265010353;0.0;55.2;21.0;537.14;66.33;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
150;1;ECONOMIZE - MAYCON;7896714221847;DIOSMINA+HESPEDI-FLAVONID 450+50MG C/60 CPR(NEO);NEO QUIMICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.7409971929462009;0.0;187.74;6.0;916.32;66.22;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
